sample_question_id,normalized_question,question_text,topic,source_file,occurrence_count,first_line
1b992db01de0,answer any two parts of the following,170.70.207 | 18/06/2025 12Answer any two parts of the following. (10x2= 20),ST021_005 | 103.170.7,CSE 3rd year.pdf,1,2325
1b992db01de0,answer any two parts of the following,170.70.207 | 18/06/202Answer any two parts of the following. (10x2= 20),CST021_005 |,CSE 3rd year.pdf,1,2364
3c02c101f6fa,answer any two parts of the following a what is the data model,Answer any two parts of the following. (10x2= 20) a) (i) What is the Data Model?,DATABASE MANAGEMENT SYSTEM,CSE 3rd year.pdf,1,6977
f380cbcd9a79,architecture,architecture?,ΑΠΟ ΠΟ,CSE 3rd year.pdf,1,6225
f78c5a76a138,are there any conflict entries,Are there any conflict entries?,OM HOR,CSE 3rd year.pdf,1,5432
8b3c2ce1b48e,assumptions made in the case of non parametric tests,assumptions made in the  case of Non-Parametric tests?,DATA ANALYTICS,CSE 3rd year.pdf,1,6896
e44ea7dfe894,attached to production,attached to production?,S🡪AA,CSE 3rd year.pdf,1,1193
1d6a9fe8214c,attempt any four,Attempt any four:,COMPUTER NETWORK,CSE 3rd year.pdf,1,2145
3fae9237dd4a,attempt any four of the following,2. Attempt any four of the following:,GRAPH THEORY,CSE 3rd year.pdf,1,3533
eff23463dd3b,attempt any four parts of the following,1. Attempt any four parts of the following:,NETWORKS,CSE 3rd year.pdf,1,2414
eff23463dd3b,attempt any four parts of the following,2. Attempt any four parts of the following:,WAN,CSE 3rd year.pdf,1,2445
eff23463dd3b,attempt any four parts of the following,Attempt any FOUR parts of the following,(F),CSE 3rd year.pdf,1,386
eff23463dd3b,attempt any four parts of the following,Attempt any FOUR parts of the following.,NOTE:,CSE 3rd year.pdf,1,348
ff14e1c3a6cc,attempt any four questions,Attempt any four questions(4 × 5 = 20),Q1.,CSE 3rd year.pdf,1,1289
829b528241be,attempt any two of the following,3. Attempt any two of the following:,TCS-604 // 2000,CSE 3rd year.pdf,1,3562
829b528241be,attempt any two of the following,4. Attempt any two of the following:,TCS-604 // 2000,CSE 3rd year.pdf,1,3578
829b528241be,attempt any two of the following,5. Attempt any two of the following:,TCS-604 // 2000,CSE 3rd year.pdf,1,3614
618e82323171,attempt any two parts of the following,5. Attempt any two parts of the following:,Q.4.,CSE 3rd year.pdf,1,2517
618e82323171,attempt any two parts of the following,Attempt any TWO parts of the following,5 X 4,CSE 3rd year.pdf,1,410
b4084b27c67c,attempt any two questions,5. Attempt any two Questions:,T -> T*FIF,CSE 3rd year.pdf,1,1457
0b24173904cf,b c what is activation record,(a*b)+(c-d)*(a*b)+b c) What is activation record?,"EVEN SEMESTER EXAMINATION, 2023 – 24",CSE 3rd year.pdf,1,1026
bd78d3f576b4,b describe map reduce framework in detail,b) Describe map reduce framework in detail?,DATA ANALYTICS,CSE 3rd year.pdf,1,6931
7c77038feda3,b draw the syntax tree and dag for the following expression,b) Draw the syntax tree and DAG for the following expression:,"EVEN SEMESTER EXAMINATION, 2023 – 24",CSE 3rd year.pdf,1,1025
39f828db0518,b explain the positional parameters in unix,b) Explain the positional parameters in Unix?,TCS-402/1960/4,CSE 3rd year.pdf,1,4054
734b00440486,b explain the process of installing hive features of hive,b) Explain the process of installing HIVE & features of HIVE?,DATA ANALYTICS,CSE 3rd year.pdf,1,6914
32afc057185d,b explain the steps involved,(5 marks)  b) Explain the steps involved,DATABASE MANAGEMENT SYSTEM,CSE 3rd year.pdf,1,7031
1e86a9ce72f4,b how will you carry out independence of attributes test,b) How will you carry out Independence of Attributes test?,DATA ANALYTICS,CSE 3rd year.pdf,1,6868
ec59d2159ff3,b o big oh,b) O (Big-Oh?,Q2.,CSE 3rd year.pdf,1,7527
cf63be6a4460,b what are different routing algorithms,b) What are different routing algorithms?,CST021_005 |,CSE 3rd year.pdf,1,2360
1c784f369475,b what is a boot block super block and data block,"b) What is a Boot block, super block and data block?",P.T.O.,CSE 3rd year.pdf,1,4187
cb9721a7f575,b what is code optimization,b) What is code optimization?,"EVEN SEMESTER EXAMINATION, 2023 – 24",CSE 3rd year.pdf,1,1073
1fb76b6d4933,b what is computer graphics,b. what is computer graphics?,(4X5=20),CSE 3rd year.pdf,1,500
1fc6bd0e57dd,b what is difference between prim s and kruskal s algorithm,b) What is difference between Prim’s and Kruskal’s algorithm?,ANALYSIS OF ALGORITHMS,CSE 3rd year.pdf,1,3061
4a29b73ef128,b what is osi model,b) What is OSI model?,ST021_005 | 103.170.7,CSE 3rd year.pdf,1,2320
e62af65c9869,b what is zookeeper explain its features with applications,b) What is Zookeeper explain its features with applications?,DATA ANALYTICS,CSE 3rd year.pdf,1,6923
20a7a245e6af,backward chaining in inference engine of expert system,backward chaining in inference engine of expert system?,DS-1079],CSE 3rd year.pdf,1,5166
21480c8c819c,be the correct code,be the correct code?,COMPUTER NETWORKS,CSE 3rd year.pdf,1,3213
92f30ccd8c0b,besu po,besu PO,A B C D,CSE 3rd year.pdf,1,3874
b2db08f5cf51,between a port address a logical address and a physical address,"between a port address, a logical address and a physical address?",COMPUTER NETWORK,CSE 3rd year.pdf,1,2159
f92c9b01f65a,between informed and uninformed search strategies in ai,between informed and uninformed search strategies in AI?,ARTIFICIAL INTELLIGENCE,CSE 3rd year.pdf,1,19
decbb600b13b,binomial trees,Binomial trees?,TCS-503/1680,CSE 3rd year.pdf,1,6655
4d7be7dcbbc1,blocks f what is control and data flow analysis,Blocks. f) What is control and data flow analysis?,"EVEN SEMESTER EXAMINATION, 2023 – 24",CSE 3rd year.pdf,1,1031
f4dba81fc002,bop in what is difference between inductive deductive abductive learning,"bop(A) in What is difference between inductive, deductive, abductive learning?",10X 2,CSE 3rd year.pdf,1,454
cc56ed1a9dd1,briefly,(ii) Briefly,ARTIFICIAL INTELLIGENCE,CSE 3rd year.pdf,1,66
cd1394b67d39,briefly describe the techniques that prevent congestion,Briefly describe the techniques that prevent congestion.,CST021_005 |,CSE 3rd year.pdf,1,2372
3152bd223a8f,briefly explain the,Briefly explain the,DATA ANALYTICS,CSE 3rd year.pdf,1,6895
9668654ebded,bs what is an intelligent agent,(d) bs What is an intelligent agent?,ARTIFICIAL INTELLIGENCE,CSE 3rd year.pdf,1,5107
967024626345,buffer method and its disadvantages,Buffer Method and its disadvantages,[P.T.O.],CSE 3rd year.pdf,1,802
82d0c3da0468,builder classes,Builder classes?,TCS-605/000/3 1980,CSE 3rd year.pdf,1,4389
3ef63bcd1dd1,business in detail,Business in detail?,DATA ANALYTICS,CSE 3rd year.pdf,1,6926
b3f6e7edefd0,by mime headers why,by MIME headers why?,UNIT-V,CSE 3rd year.pdf,1,5660
9d69063f6e61,c explain grouping join cogroup cross group in data,"c) Explain Grouping, Join, CoGroup, Cross, & Group in data?",DATA ANALYTICS,CSE 3rd year.pdf,1,6916
b47f9b65f451,c explain the following commands,c) Explain the following commands?,TCS-402/1960/4,CSE 3rd year.pdf,1,4062
8fd39428a753,c in a two way anova the number of,"c) In a two-way ANOVA, the number of",DATA ANALYTICS,CSE 3rd year.pdf,1,6885
d0673c0acb50,c what are joins,c) What are Joins?,DATABASE MANAGEMENT SYSTEM,CSE 3rd year.pdf,1,6995
e5447f3f5e0b,c what is big data,c) What is Big Data?,DATA ANALYTICS,CSE 3rd year.pdf,1,6870
04f3699f087f,c what is congestion,c) What is congestion?,CST021_005 |,CSE 3rd year.pdf,1,2372
b5027396ae7d,c what is lalr parser,c) What is LALR parser?,"EVEN SEMESTER EXAMINATION, 2023 – 24",CSE 3rd year.pdf,1,1056
7569005356f6,c what is open source technology,c) What is open-source technology?,DATA ANALYTICS,CSE 3rd year.pdf,1,6933
c158caa3cd06,c what is randomized algorithm,c) What is randomized algorithm?,ANALYSIS OF ALGORITHMS,CSE 3rd year.pdf,1,3094
330290c64918,c what is unicast routing,c) What is unicast routing?,COMPUTER NETWORKS,CSE 3rd year.pdf,1,3243
2ecc33473c6b,clipping procedure in detail,clipping procedure in detail?,[P.T.O.],CSE 3rd year.pdf,1,816
1f12cf7dd36b,codes,codes?,SECTION-E,CSE 3rd year.pdf,1,1674
37929e0a3b9a,commands,commands?,TCS-402/1960/4,CSE 3rd year.pdf,1,4042
df52c918d94e,compare and contrast csma cd with csma ca,Compare and contrast CSMA/CD with CSMA/CA.,WAN,CSE 3rd year.pdf,1,2454
d9625fca09a7,compare and contrast tcp with rtp are both doing the same things,Compare and contrast TCP with RTP. Are both doing the same things?,Q.4.,CSE 3rd year.pdf,1,2546
81c9bafce0ff,compare p and np,Compare P and NP.,TCS-503/1680,CSE 3rd year.pdf,1,6780
2d3d57cb8939,compare the orthographic and oblique types of parallel projections and also explain,Compare the orthographic and oblique types of parallel projections and also explain,[P.T.O.],CSE 3rd year.pdf,1,734
f3b666877354,compute worst time complexity of this algorithm,Compute worst time complexity of this algorithm?,Q5.,CSE 3rd year.pdf,1,7623
24f08a134c98,computers jabal and pcs,computers Jabal and PCs ?,OPERATING SYSTEM,CSE 3rd year.pdf,1,6201
11713c8b8632,consider both the,Consider both the,DS-1077],CSE 3rd year.pdf,1,6248
de8acbe23cf9,construct the set of lr items for this,Construct the set of LR(1) items for this,"EVEN SEMESTER EXAMINATION, 2023 – 24",CSE 3rd year.pdf,1,1056
d6365ebb495b,constructed and how can inference be performed using it,"constructed, and how can  inference be performed using it?",ARTIFICIAL INTELLIGENCE,CSE 3rd year.pdf,1,55
649895bbd6cf,contd,[Contd...,DS-1078-N],CSE 3rd year.pdf,1,5599
d31e12a38bcc,crt,CRT?,(4X5=20),CSE 3rd year.pdf,1,506
eaab99aec218,d differentiate between null and alternative hypotheses,d) Differentiate between Null and Alternative Hypotheses?,DATA ANALYTICS,CSE 3rd year.pdf,1,6872
1009a5ac8b03,d how queen s problem can be solved using back tracking,d) How 8-Queen’s problem can be solved using back tracking?,ANALYSIS OF ALGORITHMS,CSE 3rd year.pdf,1,3019
1dbbc55c16f3,d what are data processing operations in pig,d) What are data processing operations in PIG?,DATA ANALYTICS,CSE 3rd year.pdf,1,6890
abd16be2c8a9,d what is ip addressing,d) What is IP addressing?,COMPUTER NETWORKS,CSE 3rd year.pdf,1,3148
a22c6a976d98,define,Define,Q2.,CSE 3rd year.pdf,1,7545
c737ee258803,define complete kmp algorithm for string matching it should give the preprocessing and searching algorithms separately given the pattern and string,Define complete KMP algorithm for string matching. It should give the preprocessing and searching algorithms separately. Given the pattern: 101001 and string:,[P.T.O.],CSE 3rd year.pdf,1,6685
3db80ca5b8ed,define eulerian and hamiltonian graph draw a,Define Eulerian and Hamiltonian graph. Draw a,M03-29T,CSE 3rd year.pdf,1,6012
70fd402522d6,define expert system also explain mycin expert system,Define expert system. Also explain MYCIN expert system.,TCS-603/1800,CSE 3rd year.pdf,1,297
916aa03e85bb,define heuristic search explain the steps in best first search and illustrate it,"Define ""Heuristic Search"". Explain the steps in ""Best First Search"" and illustrate it",ARTIFICIAL INTELLIGENCE,CSE 3rd year.pdf,1,129
994fe0438389,define incidence matrix of a graph prove that if a is an incidence matrix of a connected graph g with n vertices then rank of a is n,Define incidence matrix of a graph. Prove that if A(G) is an incidence matrix of a connected graph G with n vertices then rank of A(G) is n-1.,DS-9972],CSE 3rd year.pdf,1,6128
5a942dbc380a,define queue and its possible operations,Define Queue and its possible operations.,TCS-503/1680,CSE 3rd year.pdf,1,6790
84b6f1f23d7f,define the asymptotic notations used for best case average case and worst case analysis of algorithms,Define the asymptotic notations used for best case average case and worst case analysis of algorithms.,SECTION-1,CSE 3rd year.pdf,1,6416
0613dc7b2bb1,define the code optimization with the help of any example,Define the code optimization with the help of any example.,SECTION-C,CSE 3rd year.pdf,1,1617
a6178e16c93f,define the terms eccentricity and center in,Define the terms eccentricity and center in,M03-29T,CSE 3rd year.pdf,1,6043
4efe157104a3,define the various data compression techniques used in network,(10 × 2 = 20) Define the various data compression techniques used in network?,Q.4.,CSE 3rd year.pdf,1,2525
c615c1daa535,define third normal form discuss the differences between nf and nf with examples why is nf important in database design,Define Third Normal Form (3NF). Discuss the differences between 2NF and 3NF with examples. Why  is 3NF important in database design? (10 marks),DATABASE MANAGEMENT SYSTEM,CSE 3rd year.pdf,1,7008
040922e4ca61,define windowing and viewport derive window to viewport transformation,Define windowing and viewport. Derive window to viewport transformation.,GRAPHICS,CSE 3rd year.pdf,1,2014
242171d53549,describe boot strapping and its uses in compiler design,Describe Boot strapping and its uses in compiler design.,Q1.,CSE 3rd year.pdf,1,1287
b6723eb66c3a,describe d projection,Describe 3-D projection,[P.T.O.],CSE 3rd year.pdf,1,814
f09210498f28,describe namenode datanode and block explain,"Describe namenode, datanode and block. Explain",DATA ANALYTICS,CSE 3rd year.pdf,1,6920
c8e2fad04ceb,describe optimal binary search tree using dynamic programming approach c describe chained matrix multiplication recurrence relation consider a a a and a be four matrices of dimensions and respectively describe the minimum number of scalar multiplications,"Describe optimal binary search tree (BST) using dynamic programming approach. (10 marks) c) Describe chained matrix multiplication recurrence relation. Consider A1, A2, A3 and A4 be four  matrices of dimensions 10×5, 5×20, 20×10 and 10×5, respectively. Describe the minimum number of  scalar multiplications",Q5.,CSE 3rd year.pdf,1,7706
b2d395fd707f,describe the bootstrapping and its importance,Describe the bootstrapping and its importance,BCST-603,CSE 3rd year.pdf,1,4660
356a3d29d8be,describe the chromatic number required using graph coloring technique of the given connected graph,Describe the chromatic number required using graph coloring  technique of the given connected graph. (10,Q5.,CSE 3rd year.pdf,1,7664
74e718c5e2aa,describe the cohen sutherland polygon algorithm with suitable example,Describe the Cohen Sutherland polygon algorithm with suitable example.,PTO,CSE 3rd year.pdf,1,2030
aee25fe9468b,describe the following,Describe the following :,Q5.,CSE 3rd year.pdf,1,7685
c6f632cec543,describe the preemptive and non preemptive,Describe the preemptive and non-preemptive,TCS-601/1970/4,CSE 3rd year.pdf,1,3732
17dccc2101d2,describe the tasks that are performed by semantic analysis phase of compiler,Describe the tasks that are performed by semantic analysis phase of compiler.,SECTION-B,CSE 3rd year.pdf,1,1555
13f1d84a15b3,describe the techniques that prevent,Describe the techniques that prevent,COMPUTER NETWORKS,CSE 3rd year.pdf,1,3188
e1b25b50dad2,describe the various storage management techniques in detail also describe,Describe the various storage management techniques in detail. Also describe,T -> T*FIF,CSE 3rd year.pdf,1,1465
f2a365b41708,describe the various technologies that can be used to form a lan,Describe the various technologies that can be used to form a LAN.,UNIT-I,CSE 3rd year.pdf,1,5695
f244d1d2f201,describe the working principle of carrier sense multiple access with collision,Describe the working principle of Carrier sense multiple access with collision,COMPUTER NETWORK,CSE 3rd year.pdf,1,2133
c28d2a593baf,describe three circumstances under which blocking,Describe three circumstances under which blocking,DS-9972],CSE 3rd year.pdf,1,6153
8cc1db608374,detect the presence of a negative weight cycle,detect the  presence of a negative weight cycle?,ANALYSIS OF ALGORITHMS,CSE 3rd year.pdf,1,3014
4fad1dd35c7e,determine whether the given r is in nf,determine  whether the given R is in 2NF?,DATABASE MANAGEMENT SYSTEM,CSE 3rd year.pdf,1,7007
d279a1ff318b,different from csma ca protocol,different from CSMA/CA  protocol?,ST021_005 | 103.170.7,CSE 3rd year.pdf,1,2335
9f5534a8ca11,different from dhcp,different from DHCP?,CST021_005 |,CSE 3rd year.pdf,1,2355
232279857c17,differentiate among divide and conquer dynamic programming and,"Differentiate among Divide and conquer, Dynamic Programming and",TCS-503/1680,CSE 3rd year.pdf,1,6784
55da2e163881,differentiate between,Differentiate between,NETWORKS,CSE 3rd year.pdf,1,2432
2cb56df1c5c7,differentiate between beam penetration and shadow mask method using suitable,Differentiate between beam-penetration and shadow mask method using suitable,Section B,CSE 3rd year.pdf,1,1777
3fb3fb7f854c,differentiate between bezier and b spline curve,Differentiate between Bezier and B-spline curve.,Section B,CSE 3rd year.pdf,1,1761
988cd3601be7,differentiate between bfs and dfs,Differentiate between BFS and DFS.,TCS-503/1680,CSE 3rd year.pdf,1,6796
06b9b0c13419,differentiate between circuit switching packet switching and message,"Differentiate between Circuit Switching, Packet Switching and Message",COMPUTER NETWORK,CSE 3rd year.pdf,1,2173
0f16a05583bb,differentiate between flow control and error control what is the difference,Differentiate between Flow control and Error control. What is the difference,COMPUTER NETWORK,CSE 3rd year.pdf,1,2157
356991526738,differentiate between greedy and dynamic algorithms with appropriate examples,Differentiate between Greedy and Dynamic Algorithms with appropriate examples?,DESIGN & ANALYSIS OF ALGORITHM,CSE 3rd year.pdf,1,6611
d90879ffa94b,differentiate between osi and tcp ip reference models,Differentiate between OSI and TCP/IP reference models.,COMPUTER NETWORK,CSE 3rd year.pdf,1,2131
d8a14ac3b7da,differentiate between passive and active ftp what are the,Differentiate between passive and active FTP. What are the,Q.4.,CSE 3rd year.pdf,1,2534
abedf4445950,differentiate between raster scan and random scan systems,Differentiate between raster scan and random scan systems.,",C(60,40), D(20,40).",CSE 3rd year.pdf,1,1816
fcd88527f1a5,differentiate between symmetric key cryptography and,Differentiate between symmetric key cryptography and,Q.4.,CSE 3rd year.pdf,1,2509
a01c63cfb32d,differentiate between tcp and udp with frame format,differentiate  between TCP and UDP with frame format.,COMPUTER NETWORKS,CSE 3rd year.pdf,1,3200
33198488f0ad,differentiate the syntactic phase errors and semantic errors,Differentiate the syntactic phase errors and semantic errors.,SECTION-C,CSE 3rd year.pdf,1,1613
1b7949a7060d,discuss,(ii) Discuss,ARTIFICIAL INTELLIGENCE,CSE 3rd year.pdf,1,19
577007e09432,discuss all types of joins with the help of suitable examples,Discuss all types of Joins with the help of suitable examples.,DATABASE MANAGEMENT SYSTEM,CSE 3rd year.pdf,1,6995
46ee780f6c2f,discuss analysis of variances and correlation indicators of linear,Discuss Analysis of Variances (ANOVA) and correlation indicators of linear,Q4.,CSE 3rd year.pdf,1,4704
1e7c263e8dbe,discuss ao algorithm give one example where ao is suitable to apply,Discuss AO* algorithm. Give one example where AO* is suitable to apply.,ARTIFICIAL INTELLIGENCE,CSE 3rd year.pdf,1,123
b7dee86a750d,discuss different standards of ethernet,Discuss different standards of Ethernet.,COMPUTER NETWORK,CSE 3rd year.pdf,1,2163
dad58ecab40d,discuss memory representations of a graph,Discuss memory representations of a graph,TCS-503/1680,CSE 3rd year.pdf,1,6800
098d4e3ff577,discuss reachability c give the dag representation of basic blocks and perform code improving transformations on the code represented by the block also explain peephole optimization,"discuss reachability. (10 marks) c) Give the DAG representation of basic blocks and perform code improving transformations on the  code represented by the block. Also, explain peephole optimization. (10 marks)",S🡪AA,CSE 3rd year.pdf,1,1199
1e1cab1c795a,discuss the impact of ai on society,Discuss the impact of AI on society?,ARTIFICIAL INTELLIGENCE,CSE 3rd year.pdf,1,5111
52a8923647e6,discuss the important design issues for various layers write a short notes on connection oriented and connectionless services,Discuss the important design issues for various layers. Write a short notes on connection oriented and connectionless services.,UNIT-I,CSE 3rd year.pdf,1,5699
5c792e8d8d85,discuss the matrix chain,Discuss the matrix chain,Q3.,CSE 3rd year.pdf,1,7579
f50d461e198d,discuss the role of protocols in lan technology with examples also state advantages and disadvantages of fddi and ethernet lan technologies,Discuss the role of protocols in LAN technology with examples also state advantages and disadvantages of FDDI and Ethernet LAN technologies.,UNIT-II,CSE 3rd year.pdf,1,5742
3a7b3cfbed6c,discuss the role of various phases of complier in translation of,Discuss the role of various phases of complier in translation of,SECTION-E,CSE 3rd year.pdf,1,1668
d207c7e65aff,discuss the traveling salesman problem,Discuss the traveling salesman problem.,(C),CSE 3rd year.pdf,1,5930
29537c416970,discuss the use of udp,discuss the use of UDP.,Q.4.,CSE 3rd year.pdf,1,2503
38831b356425,discuss the various approaches used for organization of symbol,Discuss the various approaches used for organization of symbol,OLI OTOD OS => [,CSE 3rd year.pdf,1,5590
68c0369d1f1c,discuss unicast routing protocols,Discuss unicast routing protocols.,COMPUTER NETWORKS,CSE 3rd year.pdf,1,3243
87c5f0c760e2,distinguish between forward and backward chaining,Distinguish between forward and backward chaining?,(C),CSE 3rd year.pdf,1,362
1b67381eec4d,do you analyze the data in hadoop,do you analyze the  data in Hadoop?,DATA ANALYTICS,CSE 3rd year.pdf,1,6912
fdf6f3a242a0,do you think we will stop using the,Do you think we will stop using the,Q.4.,CSE 3rd year.pdf,1,2535
91be5e02e08f,does greedy method effective to solve the,Does greedy method effective to solve the 0/1,Q2.,CSE 3rd year.pdf,1,7566
df45a03b5ce4,does it occur,does it occur?,SECTION-1,CSE 3rd year.pdf,1,6400
a9cdfafca7a3,draw a b tree of order inserting the following elements in sequence,Draw a B-tree of order 3 inserting the following elements in sequence,Q2.,CSE 3rd year.pdf,1,7554
376b86aa4d4a,draw a complete graph with n,Draw a complete graph with n=4.,GRAPH THEORY,CSE 3rd year.pdf,1,3535
6cd7f3087ec5,draw a directed weighted graph g with vertices and edges such that g contains a minimum weight cycle with at least edges show that the bellman ford algorithm will find this cycle,"Draw a (simple) directed weighted graph G with 10 vertices and 18 edges, such that G contains a minimum-weight cycle with at least 4 edges. Show that the Bellman-Ford algorithm will find this cycle.",SECTION-4,CSE 3rd year.pdf,1,6499
5e07041e6bf0,draw architectural diagram for,Draw architectural diagram for,DATA ANALYTICS,CSE 3rd year.pdf,1,6932
4fa8c717207e,draw diagram to discuss features of hadoop how,Draw diagram to discuss features of Hadoop. How,DATA ANALYTICS,CSE 3rd year.pdf,1,6911
098ec04db0f0,draw the flow chart for midpoint circle generation algorithm,Draw the flow chart for midpoint circle generation algorithm.?,COMPUTER GRAPHICS,CSE 3rd year.pdf,1,659
c9a03b01b4e4,draw the isdn communication architecture,Draw the ISDN communication architecture?,NETWORKS,CSE 3rd year.pdf,1,2432
3a6115976128,e what are basic blocks,e) What are basic blocks?,"EVEN SEMESTER EXAMINATION, 2023 – 24",CSE 3rd year.pdf,1,1030
9c4d6a9b0d0d,e what is congestion,e) What is congestion?,COMPUTER NETWORKS,CSE 3rd year.pdf,1,3188
1f0528a10b39,each other,each other?,BCST-604A,CSE 3rd year.pdf,1,4772
83ae30764516,entering polygons,entering polygons?,COMPUTER GRAPHICS,CSE 3rd year.pdf,1,681
c6e454d960df,environment,environment?,TCS-603/2000/4,CSE 3rd year.pdf,1,3339
c3499c272973,example,example?,BCST-602,CSE 3rd year.pdf,1,4531
f7c1380a0d71,explain,Explain,-X-,CSE 3rd year.pdf,1,4225
f7c1380a0d71,explain,Explain,DATA ANALYTICS,CSE 3rd year.pdf,1,6931
f7c1380a0d71,explain,Explain,TCS-601/1970/4,CSE 3rd year.pdf,1,3824
f7c1380a0d71,explain,Explain :,[P.T.O.],CSE 3rd year.pdf,1,790
f7c1380a0d71,explain,Explain.,203-30T,CSE 3rd year.pdf,1,4459
f7c1380a0d71,explain,Explain.,ANALYSIS OF ALGORITHMS,CSE 3rd year.pdf,1,3019
f7c1380a0d71,explain,Explain.,COMPUTER NETWORKS,CSE 3rd year.pdf,1,3144
